Timestamp,UserID,Event Name,UUID,Param/PlayerNumber,Param/NumberOfAttacksInput,Param/NumberOfBlocksInput,Param/NumberOfHitsBlocked,Param/NumberOfHitsTaken,Param/TotalEnergyUsed,Param/TotalEnergyGenerated,Param/AverageEnergyUsed,Param/TotalDistanceTraveled,Param/PlayerDefeated,Param/TotalDuelTime,Param/NumberOfClashes
4/12/2023 19:46:12,NULL,DuelOverData,09f85d399d16d1c7482c85757dd2c65c,,,,,,,,,,2,4.962168,0
4/12/2023 20:06:24,NULL,PlayerDuelOverData,4e7da896ddfb65b09c9b3e968ba573ed,1,5,0,0,5,150,70,11.945756,23.14807,,,
4/12/2023 20:06:25,NULL,PlayerDuelOverData,84269fc5433bf84232daaf2779940931,2,6,0,0,3,180,90,14.3349075,9.203656,,,
4/12/2023 20:06:25,NULL,DuelOverData,1144c0d0005f195f0fa83cef006415f9,,,,,,,,,,1,12.5567608,0
4/12/2023 20:06:57,NULL,PlayerDuelOverData,b0adf74540fa7540298e52ccccda679f,1,6,0,0,5,180,140,14.0354128,33.5125732,,,
4/12/2023 20:06:57,NULL,PlayerDuelOverData,b0adf74540fa7540298e52ccccda679f,2,7,0,0,4,210,110,16.3746471,14.9146442,,,
4/12/2023 20:06:57,NULL,DuelOverData,8df4bea978d6a8fb493c5b098b0bcc9b,,,,,,,,,,1,12.8247032,2
4/12/2023 20:07:46,NULL,PlayerDuelOverData,252feab1905d28d0d651babad091d4d6,1,3,7,4,9,200,175,7.73183727,21.2016335,,,
4/12/2023 20:07:46,NULL,PlayerDuelOverData,252feab1905d28d0d651babad091d4d6,2,11,0,0,2,330,240,12.7575312,21.4677029,,,
4/12/2023 20:07:46,NULL,DuelOverData,712eb8960712637472800ab59b1dd28d,,,,,,,,,,1,25.8670731,0
4/12/2023 20:12:36,NULL,PlayerDuelOverData,20c89815217f06e7bc168e78e993834f,1,8,0,0,3,240,245,11.1652527,30.1292782,,,
4/12/2023 20:12:36,NULL,PlayerDuelOverData,20c89815217f06e7bc168e78e993834f,2,4,1,0,5,120,120,5.58262634,9.478303,,,
4/12/2023 20:12:37,NULL,DuelOverData,9d744b5af12a717dc6af9e4a4260f2f6,,,,,,,,,,2,21.4952583,0
4/12/2023 20:25:57,NULL,PlayerDuelOverData,0323b1563947f8ca1d60590cae859d98,1,0,9,6,11,180,165,5.361418,25.02631,,,
4/12/2023 20:25:57,NULL,PlayerDuelOverData,0323b1563947f8ca1d60590cae859d98,2,14,0,0,0,420,320,12.5099754,33.55682,,,
4/12/2023 20:25:57,NULL,DuelOverData,39406e21a00e5ee0824395db4de5549e,,,,,,,,,,1,33.5732079,0
4/12/2023 20:34:45,NULL,PlayerDuelOverData,81c4cb718b0d9079d14f66205c76c2ae,1,0,0,0,5,0,0,0,15.5276623,,,
4/12/2023 20:34:46,NULL,PlayerDuelOverData,37084556d863f1e523163ba467e17019,2,5,1,0,0,150,100,10.5972862,30.2994022,,,
4/12/2023 20:34:46,NULL,DuelOverData,cbcc6513458a334ee862fa5cfd0a2f1f,,,,,,,,,,1,14.1545677,0
5/12/2023 02:03:09,NULL,PlayerDuelOverData,ef4ea4a4d3a2e23863f840979615f031,1,6,7,6,8,300,295,8.423805,56.1718178,,,
5/12/2023 02:03:09,NULL,PlayerDuelOverData,ef4ea4a4d3a2e23863f840979615f031,2,12,0,0,5,360,315,10.1085663,39.3991165,,,
5/12/2023 02:03:09,NULL,DuelOverData,cac94a098c528a9c30545b9d460fab29,,,,,,,,,,2,35.61336,0
